,created_at,id,full_text,source,retweet_count,favorite_count,hashtags,user_screen_name,user_location,user_followers_count,user_verified,user_handle,sentiments_absa,sentiments
0,Feb 22,1.36e+18,"27,219 more beneficiaries take vaccine - the hindu","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",0,0,Atotalof27,KnowledgeStall,"New Delhi, India",63,False,,0,
1,Feb 22,1.36e+18,"covid deaths have risen 25% since biden took office - psaki blames trump, lies about vaccine plan (video) - psaki/biden would have done great under big brother of orwell’s 1984!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,badjrsgord,WI,176,False,,-1,
2,Feb 22,1.36e+18,the first phase of the vaccination drive has included healthcare workers. the government is likely to soon announce which group of citizens will be administered the vaccine in the next phase.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,11,,IndianExpress,India,3799192,True,,0,
3,Feb 22,1.36e+18,govt looks to involve private sector once vaccine drive expands to 50-plus age group | india news – times of india,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,You_Deeptech,"Surat, India",54,False,,0,
4,Feb 22,1.36e+18,$ksm acting like vaccine to the dip market....,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,1,,freedomofviews,India,49,False,,1,
5,Feb 22,1.36e+18,"coronavirus in illinois updates: state surpasses 2.2 million covid-19 vaccines administered but 7-day average still down as 1,246 new cases and 34 additional deaths reported","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,AjayStfc,india,253,False,,1,
6,Feb 22,1.36e+18,the guardian view on boris johnson’s covid plan: risky bet on vaccines | coronavirus,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,1,,WaYs2rOcK,"New Delhi, India",51,False,,-1,
7,Feb 22,1.36e+18,covid-19 cases on the rise again in india; kerala and maharashtra worst hit - coronavirus outbreak news,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,gtrinadh421,bhimavaram,222,False,,1,
8,Feb 22,1.36e+18,"opinion | if poor nations don’t get vaccines soon, it is likely that their poverty will get exacerbated. equity in vaccine access is something that the global community must consider seriously.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",3,1,,FinancialXpress,"New Delhi, India",712888,True,,1,
9,Feb 22,1.36e+18,who-led covax scheme: india’s vaccine capacity will generate 1.1 billion doses: fs,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",1,0,,vision_kashmir,India,2425,False,,1,
10,Feb 22,1.36e+18,jamil jivani: trudeau's vaccine failure laughed off the court as nba dunks again and again - national post,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,northernale1,Chanada ,1087,False,,-1,
11,Feb 22,1.36e+18,students’ vaccine videos go viral | cornell chronicle – cornell chronicle,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,reuelek,"Hyderabad, Telangana, India",138,False,,-1,
12,Feb 22,1.36e+18,if you get your vaccine before teachers may just lose it,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,9,,Mar_E_,Indy,1616,False,,-1,
13,Feb 22,1.36e+18,"covid map: coronavirus cases, deaths, vaccinations by country - bbc news","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1,,Sandhya56264193,India,42,False,,-1,
14,Feb 22,1.36e+18,"the ministry said 64,25,060 hcws have taken the first dose of the vaccine and 11,15,542 hcws have taken the second dose.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,,chak2006,India,644,False,,0,
15,Feb 22,1.36e+18,"nagpur: the number of frontline workers who took first dose of covid-19 vaccine increased to 60,245 in the region on monday. vaccination of frontline workers started from february 5.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,3,,anjayaaTOI,"Nagpur, Maharashtra",1366,False,,0,
16,Feb 22,1.36e+18,if corona vaccine needs box or container which can have good refrigeration facility focus should be on navin flourine and other refrigerator gas..related companies don't know peers company which is connected to business,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,Fluoride,No_Paid_Service,,89,False,,-1,
17,Feb 22,1.36e+18,ongole : tahsildar felicitates doctors for treating covid-19 patients,"<a href=""https://hocalwire.com"" rel=""nofollow"">Hocalwire Social Share</a>",0,1,"KChiranjeevi,Felicitation,Coronavirus",TheHansIndiaWeb,Hyderabad,6882,False,,1,
18,Feb 22,1.36e+18,5 takeaways from the nyc mayor’s race: bagel orders and vaccine appointments,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,IndNews7,India,17,False,,1,
19,Feb 22,1.36e+18,"covid-19 cases on the rise again in india, kerala and maharashtra worst hit","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,iamrashed,"Dhaka,bangladesh",313,False,,-1,
20,Feb 22,1.36e+18,"perspective : private media is quite vile. till trump was in power, headlines in bbc/ cnn/ al jazeera everyday was rising cases of covid in usa. all headlines now have vanished. the truth is usas de*th count has cross 5 lakh cases and the whole vaccine campaign has flopped.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,1,,PluviophilePoet,India,7102,False,,-1,
21,Feb 22,1.36e+18,is making fake vaccine is not crime,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3,6,ArrestRamdev,sach_bas,India,1167,False,,-1,
22,Feb 22,1.36e+18,sarfaraz crying when hafeez hit six. inject that right in my veins. my vaccine ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",5,44,LQvsQG,Ahmadridismo,,2165,False,,1,
23,Feb 24,1.36e+18,"developed by the university of oxford and astrazeneca and manufactured by india’s serum institute, received widespread acceptance in points out","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",3,10,"Covishield,Nepal",orfonline,India,84565,True,,1,
24,Feb 24,1.36e+18,the vaccine might be here but you still need to follow appropriate behaviour in order to stay safe and protected. say no to handshakes high fives hugs together we can defeat the risk of covid-19!,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",4,11,"coronavirus,COVID,Unite2FightCorona,JanAndolan",dprohyd,"Hyderabad, India",6671,True,,-1,
25,Feb 24,1.36e+18,handling covid-19 as well as pakistan would have saved us $10 trillion: economist via,"<a href=""https://contentstudio.io"" rel=""nofollow"">ContentStudio.io</a>",1,0,,FahadKharal_,Islamabad,154,False,,1,
26,Feb 24,1.36e+18,india dispatches first batch of six lakh covid vaccine doses to ghana,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,7,,thetribunechd,Chandigarh,114919,True,,0,
27,Feb 24,1.36e+18,"india warns of worsening covid-19 situation, vaccinations to expand","<a href=""https://trueanthem.com/"" rel=""nofollow"">True Anthem</a>",7,11,,ReutersIndia,New Delhi,596091,True,,-1,
28,Feb 24,1.36e+18,i need no corona vaccine need old honey singh back ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,26,,kabirlmao,India,124,False,,-1,
29,Feb 24,1.36e+18,"got my first vaccine at the or convention center today and am in complete awe of the entire operation. incredibly organized, knowledgeable and cheerful helpers everywhere. guy in military fatigues gave me my shot and wanted to hug him (i didn’t). grateful.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,7,,LongStoryLonger,Rip City,659,False,,1,
30,Feb 24,1.36e+18,andrews – no links between company behind covid-19 vaccine stuff up and hotel quarantine,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,AbhishekT_iwari,"Rewa, India",114,False,,0,
31,Feb 24,1.36e+18,aha news: what’s safe once you’ve had your covid-19 vaccine?,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,RavindraSoni1,Bhopal,409,False,,0,
32,Feb 24,1.36e+18,south african variant-specific vaccine ready for testing: moderna,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,IndNews7,India,17,False,,1,
33,Feb 24,1.36e+18,vaccine scepticism is as old as vaccines themselves. here's how to tackle it,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,0,,ApeethaA,Australia and India,144,False,,0,
34,Feb 24,1.36e+18,"country's cumulative number of covid-19 vaccine doses administered to healthcare, frontline workers crosses 1.23 crore","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2,20,,airnewsalerts,"New Delhi, India",2628344,True,,0,
35,Feb 24,1.36e+18,moderna s. africa variant-specific vaccine ready for testing: company,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,DisneyNews20,surat,15,False,,1,
36,Feb 24,1.36e+18,"out-of-turn vaccine for thane mayor, sena legislator, his son & other netas","<a href=""http://www.toi.in"" rel=""nofollow"">cmssocialservice</a>",2,4,,TOIMumbai,Mumbai,233052,True,,1,
37,Feb 24,1.36e+18,india turns to private sector to boost sluggish covid-19 vaccine drive - financial times,"<a href=""https://app.sendible.com"" rel=""nofollow"">Sendible</a>",0,0,,_Shah_ida_,India ,361,False,,1,
38,Feb 24,1.36e+18,moderna designs updated covid-19 vaccine to combat south africa coronavirus variant,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,newstimebarak,"Assam, India",564,False,,1,
39,Feb 24,1.36e+18,johnson & johnson vaccine is legit. but people aren’t forgetting the baby powder jig.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2,4,,Aqua174,Hoth,11509,True,,1,
40,Feb 24,1.36e+18,gravitas: pfizer's abusive vaccine deals - wion,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",0,0,,_sapupdates,"New Delhi, India",128,False,,-1,
41,Feb 24,1.36e+18,south african virus variant-specific vaccine ready for testing: moderna,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,Thespuzz,India,691,False,,1,
42,Feb 24,1.36e+18,"j&j’s covid-19 vaccine is safe and effective, fda says, paving way for approval","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,AjayStfc,india,253,False,,1,
43,Feb 24,1.36e+18,south african virus variant-specific vaccine ready for testing: moderna - ndtv,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",0,0,,KnowledgeStall,"New Delhi, India",63,False,,1,
44,Feb 24,1.36e+18,‘we are very sorry’: vaccine overdosing bungle,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,AbhishekT_iwari,"Rewa, India",114,False,,-1,
45,Feb 24,1.36e+18,"vaccine update: pretty good, arm is little sore & feeling tired (but this may also be due to day 4 of conference finishing at 11pm)","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,5,,dthereindeer,LDN,237,False,,1,
46,Feb 24,1.36e+18,coronavirus | large real world study confirms pfizer covid-19 vaccine 94% effective,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,You_Deeptech,"Surat, India",54,False,,1,
47,Feb 24,1.36e+18,"educators need to be vaccinated now. my mom has been back to work in person in childcare since july, and becky whoever the fuck who works in plant store got her vaccine already. cmon man !!!! it just makes me frustrated","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,17,,badgermama420,MA,306,False,,-1,
48,Feb 24,1.36e+18,greece in talks with uk to allow holidays with vaccine passports | coronavirus,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,WaYs2rOcK,"New Delhi, India",51,False,,0,
49,Feb 24,1.36e+18,covid 19 coronavirus: call for earlier vaccine rollout for south auckland amid outbreak - new zealand herald,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",0,0,SpotlightCoronavirus,KnowledgeStall,"New Delhi, India",63,False,,0,
50,Feb 24,1.36e+18,latest covid-19 vaccine and world news,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,IndNews7,India,17,False,,1,
51,Feb 24,1.36e+18,"above 60, 45-plus with other illnesses to get covid-19 vaccine from march 1","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,DKashmirimages,Jammu And Kashmir,3065,False,,0,
52,Feb 24,1.36e+18,uk thinktank calls for door-to-door covid jabs to tackle vaccine disparities,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,,seshutatikola,hyderabad,33,False,,1,
53,Feb 24,1.36e+18,2nd phase covid-19 vaccination drive from march 1,"<a href=""https://hocalwire.com"" rel=""nofollow"">Hocalwire Social Share</a>",0,0,"Coronavirus,Coronavirusvaccine",TheHansIndiaWeb,Hyderabad,6882,False,,0,
54,Feb 24,1.36e+18,please consider the johnson & johnson single dose vaccine for india.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,chipskamath,India,458,False,,1,
55,Feb 24,1.36e+18,"one medical gave covid-19 vaccines to ineligible people, npr report says","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",0,0,,taranumgoel,"Mumbai, India",582,False,,0,
56,Feb 24,1.36e+18,fda says johnson & johnson’s single-shot covid-19 vaccine is safe and effective us food and drug administration review released on wednesday found the drugmaker’s single-dose vaccination to be safe,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,4,"COVID19,wednesdaythought,bobrisky,COVID19Vaccine",MAYNULMILON,Panchagarh,20,False,,1,
57,Feb 24,1.36e+18,vietnam's first batch of covid-19 vaccine arrives from south korea,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>",0,0,UI,ArtAshutosh,Pune,347,False,,0,
58,Feb 24,1.36e+18,"west bengal cm wrote to pm on wednesday, 24 feb, saying that the government of west bengal wants to provide free vaccine to all its citizens.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,1,"COVID19,WestBengal,MamtaBanerjee,COVID19Vaccine",iamrigvedansh,"नई दिल्ली, भारत",159,False,,1,
59,Feb 24,1.36e+18,aiims director dr randeep guleria said the corona vaccines have great impact on new covid train. all must be vaccinated.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,"coronavirus,coronavirusstrain,randeepguleria,CoronavirusVaccine",indiacom,India,14701,True,,1,
60,Feb 24,1.36e+18,actually they are part of the first groups to receive the vaccine,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,Lyn_Abla,Somewhere in Ghana,2764,False,,0,
61,Feb 24,1.36e+18,"in delhi, there are more than 43 lakh people who will fall under the category of 50 years and above and those younger but with co-morbidities. at present, there are 261 session sites offering the covid-19 vaccines, covaxin and covishield.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",3,12,,IndianExpress,India,3799191,True,,1,
62,Feb 24,1.36e+18,johnson & johnson single-shot vaccine ‘safe and effective’ against covid-19 infection: fda,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,iamrashed,"Dhaka,bangladesh",313,False,,1,
63,Feb 24,1.36e+18,"j&j vaccine may block spread of coronavirus, fda says","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,diaafit,"Faridabad, India",76,False,,-1,
64,Feb 24,1.36e+18,"on the front lines of diplomacy, but at the back of the vaccine queue","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,0,,ATDUX_COM,India,343,False,,0,
